type,open_time,close_time,entry_price,close_price,balance_before,balance_after,profit,profit_percent,fee_paid,duration_days,duration_hours,duration_minutes
SHORT,2025-11-04 06:30:00.000000 ,2025-11-05 04:00:00.000000 ,104972.74,102130.0,992.31,1018.68,26.36,2.66,0.5096,0,21,30
SHORT,2025-11-06 02:30:00.000000 ,2025-11-06 05:00:00.000000 ,102899.29,104030.8,1018.68,1006.97,-11.71,-1.15,0.5037,0,2,30
SHORT,2025-11-07 01:00:00.000000 ,2025-11-07 02:45:00.000000 ,101479.79,101553.99,1006.97,1005.73,-1.24,-0.12,0.5031,0,1,45
SHORT,2025-11-07 10:45:00.000000 ,2025-11-07 17:30:00.000000 ,100944.84,102337.99,1005.73,991.36,-14.38,-1.43,0.4959,0,6,45
SHORT,2025-11-08 05:00:00.000000 ,2025-11-08 08:30:00.000000 ,102565.03,102450.42,991.36,991.97,0.61,0.06,0.4962,0,3,30
LONG,2025-11-08 23:30:00.000000 ,2025-11-09 03:00:00.000000 ,102450.97,101633.25,991.97,983.56,-8.41,-0.85,0.492,0,3,30
SHORT,2025-11-09 06:15:00.000000 ,2025-11-09 11:00:00.000000 ,101880.0,101876.36,983.56,983.1,-0.46,-0.05,0.4918,0,4,45
LONG,2025-11-09 21:15:00.000000 ,2025-11-10 14:45:00.000000 ,104382.73,105652.98,983.1,994.57,11.47,1.17,0.4975,0,17,30
LONG,2025-11-11 01:30:00.000000 ,2025-11-11 06:30:00.000000 ,106792.58,105042.69,994.57,977.78,-16.79,-1.69,0.4891,0,5,0
SHORT,2025-11-11 17:15:00.000000 ,2025-11-12 03:30:00.000000 ,103569.97,103323.99,977.78,979.61,1.83,0.19,0.4901,0,10,15
SHORT,2025-11-12 16:45:00.000000 ,2025-11-13 02:00:00.000000 ,101694.42,102006.99,979.61,976.11,-3.5,-0.36,0.4883,0,9,15
SHORT,2025-11-13 15:15:00.000000 ,2025-11-14 02:45:00.000000 ,102845.8,99821.45,976.11,1004.32,28.2,2.89,0.5024,0,11,30
SHORT,2025-11-14 05:45:00.000000 ,2025-11-15 03:30:00.000000 ,97289.77,96656.0,1004.32,1010.35,6.04,0.6,0.5054,0,21,45
SHORT,2025-11-15 13:00:00.000000 ,2025-11-15 15:30:00.000000 ,95814.08,96381.44,1010.35,1003.87,-6.48,-0.64,0.5022,0,2,30
SHORT,2025-11-15 22:00:00.000000 ,2025-11-16 05:15:00.000000 ,95280.0,96039.99,1003.87,995.36,-8.51,-0.85,0.4979,0,7,15
LONG,2025-11-16 11:15:00.000000 ,2025-11-16 13:45:00.000000 ,95931.4,95224.39,995.36,987.53,-7.83,-0.79,0.494,0,2,30
SHORT,2025-11-16 15:30:00.000000 ,2025-11-17 02:00:00.000000 ,95428.7,94768.02,987.53,993.87,6.34,0.64,0.4972,0,10,30
SHORT,2025-11-17 14:30:00.000000 ,2025-11-18 10:45:00.000000 ,94155.06,91521.05,993.87,1021.17,27.29,2.75,0.5108,0,20,15
SHORT,2025-11-19 02:00:00.000000 ,2025-11-19 13:15:00.000000 ,92440.0,91609.19,1021.17,1029.83,8.66,0.85,0.5152,0,11,15
SHORT,2025-11-19 19:45:00.000000 ,2025-11-20 00:00:00.000000 ,88723.33,91554.96,1029.83,996.46,-33.37,-3.24,0.4985,0,4,15
SHORT,2025-11-20 10:45:00.000000 ,2025-11-21 17:00:00.000000 ,91796.67,84919.58,996.46,1070.58,74.12,7.44,0.5356,1,6,15
LONG,2025-11-23 17:00:00.000000 ,2025-11-24 01:45:00.000000 ,86685.59,86531.4,1070.58,1068.14,-2.44,-0.23,0.5343,0,8,45
LONG,2025-11-24 17:45:00.000000 ,2025-11-25 02:30:00.000000 ,87936.97,87627.96,1068.14,1063.85,-4.29,-0.4,0.5322,0,8,45
LONG,2025-11-26 01:15:00.000000 ,2025-11-26 06:00:00.000000 ,87522.66,87519.54,1063.85,1063.28,-0.57,-0.05,0.5319,0,4,45
SHORT,2025-11-26 11:00:00.000000 ,2025-11-26 17:00:00.000000 ,86955.17,87820.02,1063.28,1052.18,-11.1,-1.04,0.5264,0,6,0
